id,own,competing2,competing3,borrowertype,accepted,default,profit
100127,,.10097761,.26685259,0,0,0,
100128,,,.39292321,1,0,1,
100129,.17596832,.17,.1322,0,0,0,
100130,.25051358,.11,.114,0,0,0,
100131,,.44141328,,0,0,1,
100132,.59142327,.58659726,.52877933,0,0,0,
100133,.14661713,.053534042,.11863937,0,0,0,
100134,.83932012,.39481243,,1,0,0,
100135,.94229537,.13213021,.118,0,0,0,
100136,.071813658,,,0,1,0,718.1366
100137,.16290921,.02,.13287349,0,0,0,
100138,.40850142,.27357793,,0,0,0,
100139,.078805149,.040599573,.2078422,0,0,0,
100140,.12591201,.063360862,,2,0,0,
100141,,,.45137632,2,0,0,
100142,,,,0,0,1,
100143,.12639832,.18000001,,0,1,0,1263.9833
100144,.33062935,,.17392002,0,0,0,
100145,,.11123633,.63633937,2,0,0,
100146,.7605167,.18628685,.19580001,0,0,0,
100147,.484795,.4144235,,0,0,0,
100148,.63019538,.57840931,,0,0,0,
100149,.15825427,.15610863,.17653325,1,1,0,1582.5426
100150,.51467091,.3219243,,0,0,0,
100151,,,.39671704,0,0,0,
100152,,,.57885689,2,0,0,
100153,.11217568,.048379149,.18229288,0,0,0,
100154,.87811893,.23814039,,0,0,0,
100155,.16521347,,.1675,1,1,0,1652.1346
100156,,.18972327,.42559999,0,0,0,
100157,.60466659,.31032455,.15104041,0,0,0,
100158,.094501428,.11929096,.082999997,0,0,0,
100159,.44442186,.21391518,.1909,3,0,0,
100160,.90314806,.33892247,.2095,3,0,0,
100161,.86288834,.29730418,.24954937,0,0,0,
100162,.59448475,,.21161105,0,0,1,
100163,.35333341,,,0,1,0,3533.3342
100164,.72760701,.1260923,.19270937,2,0,1,
100165,.042665452,.29568639,.090000004,0,1,0,426.65451
100166,.273258,.33257261,,0,1,0,2732.5801
100167,.98197204,,.54937822,0,0,0,
100168,.10276829,,.015491498,0,0,0,
100169,,,.27372059,0,0,0,
100170,.23085137,.6330834,,0,1,0,2308.5137
100171,.44342658,,.111,1,0,1,
100172,.77119946,.57530195,.55325001,1,0,0,
100173,.58815211,.13718861,.1441,0,0,0,
100174,.86713362,.50431126,.38067445,0,0,0,
100175,.086647771,.057548776,,0,0,0,
100176,,.3169902,.2866928,1,0,0,
100177,.59611332,,,0,1,0,5961.1333
100178,,.62142855,.73696673,0,0,0,
100179,,.4127903,.29786885,0,0,0,
100180,.30208132,,.20739591,0,0,0,
100181,.1594788,,,2,1,0,1594.788
100182,,,,2,0,1,
100183,.17358172,.1260923,.15530001,0,0,0,
100184,.086420953,.091087893,.22445849,0,1,0,864.20953
100185,,.35334325,,0,0,0,
100186,.12788804,,,0,1,0,1278.8804
100187,.13139713,.059999999,.25709999,0,0,0,
100188,.34919128,.91359562,.13367745,2,0,0,
100189,.29361057,.20999999,.19197747,3,0,0,
100190,.21686602,.17210677,.19864427,0,0,0,
100191,.072062522,.36859292,.18764943,0,1,0,720.62524
100192,.53605843,.22845151,.38963056,0,0,1,
100193,.34028038,.11,.123,0,0,0,
100194,.47530428,.46923426,.28222063,2,0,0,
100195,.24813102,,,0,1,0,2481.3103
100196,.35827738,.21810551,,3,0,1,
100197,.17783025,.095270127,.24044727,0,0,0,
100198,.38779676,.87462497,.44808546,0,1,0,3877.9675
100199,,.096568651,.65163636,0,0,0,
100200,.65664238,,.52800447,0,0,0,
100201,.59453678,,.2868,0,0,0,
100202,,.30251619,.60278511,0,0,0,
100203,,,,0,0,0,
100204,.085533224,.059999999,,2,0,0,
100205,.47241819,,,0,1,1,-10000
100206,.050759953,.02,,2,0,0,
100207,.12776415,.14,.23128775,0,1,0,1277.6415
100208,.64269972,,,3,1,1,-10000
100209,,.16229525,.0999,0,0,1,
100210,.46029603,.1260923,,3,0,0,
100211,.23263353,,,0,1,0,2326.3352
100212,,.12573606,,0,0,0,
100213,,,.55942011,0,0,1,
100214,.37224737,,.11,0,0,0,
100215,.29179412,.27105203,,0,0,0,
100216,.21476126,,.26698536,0,1,0,2147.6125
100217,,.15118681,.33309999,0,0,0,
100218,.18300566,,.18758896,0,1,1,-10000
100219,.31766307,.24930583,.19341925,0,0,0,
100220,.55552346,.083116554,.39344358,0,0,1,
100221,.54217595,,.19540206,0,0,0,
100222,.33449432,.19587703,,0,0,0,
100223,.15189521,.22074638,.102,0,0,0,
100224,.70820087,.1042049,.34135762,0,0,1,
100225,.30706483,.48651007,.098099999,0,0,0,
100226,.307592,.71648502,.18985131,0,0,1,
100227,.49832439,.34856945,.1664,3,0,0,
100228,,.30024382,.69386637,0,0,1,
100229,.081811786,,.093217872,1,1,0,818.11786
100230,.33012736,,.16018268,0,0,0,
100231,.13180339,.059999999,.12658815,1,0,0,
100232,.74529332,.20465231,.2247,0,0,1,
100233,.088275172,,.2101,0,1,0,882.75171
100234,.086779073,.0589866,,0,0,0,
100235,.92576343,.12660724,.2159,0,0,0,
100236,.80188298,,.42007902,2,0,0,
100237,,,.57948101,3,0,0,
100238,.74890649,.80675673,.16273645,0,0,0,
100239,.65454364,.26280493,,0,0,0,
100240,.7746011,.24789268,.19371079,0,0,0,
100241,.3576338,.13438064,.1744,2,0,0,
100242,.32531539,,,2,1,0,3253.1538
100243,.43527609,.27143848,,0,0,0,
100244,.29854316,.44197091,.23995447,1,0,0,
100245,.58245075,.18775511,.15720879,0,0,0,
100246,.96789712,.90122211,.21945666,0,0,1,
100247,.88624823,.23638883,.44602153,3,0,1,
100248,.31714147,.3129482,,3,0,1,
100249,.4936406,.22,.2717098,2,0,0,
100250,.050000001,.041088361,.043905586,2,0,0,
100251,,.4223077,.90864992,0,0,0,
100252,.057124782,,.047633696,0,0,0,
100253,,,,0,0,0,
100254,,.46877813,.26389143,2,0,0,
100255,,.46601403,,0,0,0,
100256,,.30536911,.75412476,0,0,1,
100257,.29218847,,.22802006,2,0,0,
100258,.38625351,,.18078922,0,0,0,
100259,.088630937,.033628389,.15800001,0,0,0,
100260,.45957208,.082812026,.16537318,0,0,0,
100261,,,.44961077,0,0,0,
100262,.081124529,,,2,1,0,811.2453
100263,.5150997,,.44749999,2,0,0,
100264,.30699608,.18000001,.28105065,0,0,0,
100265,.67661226,.20999999,,0,0,1,
100266,,.92731088,,2,0,0,
100267,.44197446,.33257261,.22674732,2,0,0,
100268,.71329528,.1260923,.2579,0,0,0,
100269,.3512069,.2,,0,0,0,
100270,.9164992,,.44664103,3,0,0,
100271,,,.50801009,3,0,0,
100272,.32723901,.25440308,.19763905,0,0,0,
100273,.57584441,.22038431,.31219819,2,0,1,
100274,.080064267,,,1,1,0,800.64264
100275,.39453325,.2876665,.1772,0,0,0,
100276,.51037908,,.36332825,2,0,0,
100277,.76080501,,.17624147,0,0,0,
100278,,.23283598,.36462328,0,0,0,
100279,,,.96928275,0,0,1,
100280,.51847523,.37360469,,0,0,0,
100281,.65191907,.39721081,,2,0,0,
100282,.27956554,.22,.31650001,0,0,1,
100283,.065333903,.041945864,.12041524,0,0,0,
100284,,,.39290962,3,0,1,
100285,.087620564,.1045526,.058241807,0,0,0,
100286,,.22152914,,3,0,0,
100287,.79374456,.16015193,,0,0,0,
100288,.87867856,.38326487,.3098,0,0,0,
100289,.068104312,.07,.071999997,0,1,0,681.04309
100290,.30014938,.16860938,,2,0,1,
100291,.83465099,.24409825,.3018645,0,0,1,
100292,,,,0,0,0,
100293,,,.41479477,1,0,1,
100294,.085974544,.045704391,.13713706,1,0,0,
100295,.1507373,.10618394,.17096503,3,0,0,
100296,.55694175,.43738064,.2115,2,0,0,
100297,.092282198,.079999998,.13266496,0,0,0,
100298,.73640686,.6330834,.44922137,0,0,1,
100299,.83777136,.96166551,,0,1,0,8377.7139
100300,.36885372,,,0,1,0,3688.5371
100301,.1592169,.14,.35622463,0,0,0,
100302,.33010492,.39103904,.58361989,0,1,0,3301.0491
100303,.54180169,.2073417,,0,0,0,
100304,.41690144,.14,.077399999,3,0,0,
100305,.50989389,.12294745,.25354239,2,0,0,
100306,.5542239,.30135936,.2227,2,0,0,
100307,.087535895,,.17479825,1,1,0,875.35895
100308,.28972566,.43625149,.28816211,0,0,0,
100309,,.15453389,,0,0,0,
100310,.30938748,,.19339122,0,0,0,
100311,.08120355,.080365717,,0,0,0,
100312,.54493099,.47204548,.72160894,3,0,1,
100313,.26807249,.12294837,,0,0,0,
100314,.45239034,,.2287,0,0,0,
100315,.87423891,.31537685,,0,0,0,
100316,.61964202,.29025513,.097900003,0,0,0,
100317,.81808102,.4223077,.22992885,2,0,1,
100318,.22909096,.11,,0,0,0,
100319,.055696998,,.059418987,1,1,0,556.96997
100320,.45140493,,,0,1,0,4514.0493
100321,.10237608,.27975553,.17091733,1,1,0,1023.7608
100322,.50048631,,,3,1,1,-10000
100323,.029704301,.039999999,.078000002,1,1,0,297.043
100324,.17852235,.1,,0,0,0,
100325,,.59468037,.56136709,0,0,1,
100326,.21846129,.1627451,.18791381,0,0,0,
100327,.032697376,.041112348,.043905839,0,1,0,326.97375
100328,.83839667,,.22040001,1,0,0,
100329,.25360107,.8880657,.18595856,0,0,0,
100330,.80779374,.1738463,,0,0,0,
100331,,.10300232,.65499026,0,0,0,
100332,.046382487,.062737852,6.6126004e-06,0,0,0,
100333,.14443868,.30680215,.20941979,0,1,0,1444.3868
100334,.70327252,.17125374,,0,0,0,
100335,.30475712,.22,.36796033,0,0,0,
100336,.13084087,.055248171,.14860544,0,0,0,
100337,.033707932,.16522843,.13330001,1,1,0,337.07932
100338,.87184781,,,3,1,0,8718.4785
100339,.71389675,,.47368926,0,0,0,
100340,.44989815,,.2184,3,0,0,
100341,.3680833,.18794595,.1774635,0,0,0,
100342,.36730197,.31030822,,0,0,0,
100343,.17562868,,.1036,0,0,0,
100344,.10460402,.059999999,.103,0,0,0,
100345,.90308011,.22,,0,0,0,
100346,.32455584,.23369987,.24526247,0,0,0,
100347,.2468695,.20999999,.19734798,3,0,0,
100348,.11109101,,.104,2,0,0,
100349,.026180739,.19700046,.10540047,0,1,0,261.80737
100350,.65604436,,.48407793,0,0,0,
100351,,.42310315,.42402643,2,0,1,
100352,.097505175,.039095569,.048849992,0,0,1,
100353,.50184542,,.48977497,0,0,0,
100354,.67139077,,.28220466,0,0,0,
100355,.63070786,.72973841,.31639445,0,0,1,
100356,,.61712205,.38550633,0,0,0,
100357,,,.24954817,0,0,0,
100358,.11981241,.1171797,.021660857,3,0,0,
100359,.026459506,.040382616,.06844832,1,1,0,264.59506
100360,.30326179,,.2712,0,0,1,
100361,,.22,.24725141,0,0,1,
100362,.24658801,.33257261,.19874626,0,0,0,
100363,.22781403,.19928132,,0,0,0,
100364,.2039917,.20999999,,3,1,0,2039.917
100365,.9024145,,.44666129,1,0,0,
100366,,.4602564,.39910001,0,0,0,
100367,.045137648,,.00066002761,0,0,0,
100368,,.29709837,,0,0,0,
100369,.15240641,.21198982,.16760001,0,1,0,1524.0641
100370,.079526305,.037062902,.049122639,0,0,0,
100371,,.5,,3,0,0,
100372,.23307063,.22744244,.17670479,0,0,1,
100373,,,.52581996,0,0,0,
100374,.1106606,.049522564,.124,1,0,0,
100375,.37097186,,.20964174,0,0,0,
100376,,.4223077,,0,0,0,
100377,,.4223077,,0,0,0,
100378,,.12559749,.44691092,2,0,0,
100379,,,.780056,0,0,1,
100380,,.90122211,.1911,0,0,1,
100381,.80913669,.76529634,.45304814,0,0,0,
100382,,,,2,0,0,
100383,.32154009,,.29137778,0,0,1,
100384,.29130718,.1627451,.23301081,0,0,0,
100385,,,.57710928,0,0,0,
100386,.89956158,.27360943,,2,0,0,
100387,.16758296,.11,,0,0,0,
100388,.33813778,.3565864,.25627258,0,0,0,
100389,.050000001,,.079000004,0,1,0,500
100390,.56990194,.15708597,,0,0,1,
100391,.068589188,.59106904,.104,0,1,0,685.89191
100392,.20350823,.11,.23118152,0,0,0,
100393,.52469677,.90122211,,2,1,0,5246.9678
100394,.36134133,.39150617,,0,1,0,3613.4133
100395,.87423891,.59903169,,1,0,1,
100396,.090292171,.051527169,.11158593,1,0,1,
100397,,.4780646,.70456612,3,0,1,
100398,.061972186,.095270127,.072514579,0,1,1,-10000
100399,,,,2,0,0,
100400,.49582624,.18648313,,0,0,0,
100401,.11378756,.059999999,.13173364,0,0,0,
100402,,,.78601092,3,0,0,
100403,,,,0,0,0,
100404,.51994729,.44851631,.37677217,1,0,0,
100405,.37115172,.27097377,,0,0,0,
100406,,.40214774,.40959889,0,0,1,
100407,,.39246491,.45896724,0,0,0,
100408,,.10703897,,0,0,1,
100409,.68772894,.19353181,,0,0,0,
100410,.23721072,.20999999,.28987801,0,0,0,
100411,.6500538,.25542966,.34722,0,0,0,
100412,,.4602564,,0,0,0,
100413,.037664726,.10346099,.034806497,1,1,0,376.64728
100414,.6102978,.37007338,.26267549,2,0,0,
100415,.31092885,.21892418,.32475603,0,0,0,
100416,.30888805,.1655914,.19346021,0,0,0,
100417,.27956393,.99002773,.1607879,3,0,0,
100418,.29275876,.20070691,.24638738,3,0,0,
100419,.22742519,.27093491,.18618652,0,0,0,
100420,.28418463,,,3,1,0,2841.8464
100421,.1075808,,.20656717,0,1,0,1075.808
100422,.61371273,,.20917037,0,0,0,
100423,.69168288,.29025513,.26144794,0,0,1,
100424,,.70923686,.5690825,0,0,0,
100425,.36000746,.10845129,,3,0,0,
100426,.38371119,.1168151,.24749146,0,0,0,
100427,.30418006,.23331584,,0,0,0,
100428,.47096419,.33257261,.33676842,0,0,0,
100429,,.49795201,.3008,0,0,0,
100430,.033401139,.02,.13994129,0,0,0,
100431,.85952282,.22,,1,0,0,
100432,.41781494,.71450645,.41252619,1,1,0,4178.1494
100433,.36700064,,.090000004,0,0,0,
100434,.77001125,,.2554161,2,0,0,
100435,.47325173,.50147241,,0,1,0,4732.5171
100436,.38002971,,.62620592,1,1,0,3800.2971
100437,,.43185109,,0,0,0,
100438,,,.36879295,0,0,1,
100439,.067380801,.029999999,.0076461923,0,0,0,
100440,.48379737,,.35208595,0,0,0,
100441,.25244504,.14381899,.14328101,0,0,0,
100442,.43966356,.20566818,.51426131,0,0,0,
100443,.028884187,.02,.098999999,0,0,0,
100444,.44271752,,,0,1,0,4427.1753
100445,.26367784,.41,,3,1,0,2636.7783
100446,,.33208025,.1735,0,0,0,
100447,.36247072,.33890581,,0,0,0,
100448,.91967231,.42381719,.41963312,3,0,0,
100449,.1911661,.1171797,.21230078,0,0,0,
100450,.11691736,.070372023,.11983904,0,0,0,
100451,.79588902,.20653698,.41384244,3,0,1,
100452,,.4223077,.29331294,0,0,0,
100453,,.41095361,.42369306,1,0,1,
100454,.63885421,.26093143,.19879206,0,0,0,
100455,.11284807,,.093000002,0,0,0,
100456,.12665194,.3388904,.12204087,0,0,0,
100457,,.4223077,.48477015,0,0,0,
100458,.037767056,.068337865,.061653025,0,1,0,377.67056
100459,,.44422475,.38656679,0,0,0,
100460,,,.64048898,3,0,1,
100461,,.44422475,,0,0,0,
100462,,.19596225,,0,0,1,
100463,.50977546,,.29283535,0,0,0,
100464,.8549282,.1910124,.12909766,2,0,0,
100465,.9210484,,.2604,1,0,0,
100466,.16513713,.07,.43057814,0,0,0,
100467,,.29815844,.20308134,0,0,0,
100468,,.72278786,,0,0,1,
100469,.74618387,.22,,3,0,0,
100470,,.43945932,.57869315,0,0,0,
100471,,.39885673,.41387957,3,0,0,
100472,.77771705,.11572364,.30070001,0,0,0,
100473,,.87934846,.25211936,0,0,1,
100474,.82481164,.15892498,,3,0,0,
100475,.28672525,.13744147,.0876,1,0,0,
100476,.70365095,.39768544,.37479252,1,0,0,
100477,.34783426,,,0,1,0,3478.3425
100478,.091203153,,.049218781,2,0,0,
100479,.033681788,.02,.18189999,3,0,0,
100480,.3048701,.12916666,.27419999,3,0,0,
100481,.054881863,.054476153,.046999998,0,0,0,
100482,,.17273842,.16892397,0,0,0,
100483,,,,0,0,0,
100484,,.29025513,.40615907,1,0,1,
100485,.86472183,.24600869,.24009725,0,0,0,
100486,.88624018,,,0,1,0,8862.4014
100487,,,.54849094,3,0,1,
100488,,,.66953999,0,0,0,
100489,.92992318,.25333804,.27379999,2,0,0,
100490,,,.66329503,2,0,1,
100491,.11840288,.092084207,,0,0,0,
100492,.055094499,.02,.096072324,0,0,0,
100493,,.30326223,.48679999,2,0,1,
100494,,.3720549,,0,0,1,
100495,.70896083,.31031662,,0,0,1,
100496,.13636199,.062737852,,0,0,0,
100497,.8749373,.43167359,.29730001,0,0,0,
100498,.063266128,.048491199,.13150001,0,0,0,
100499,.16604273,.1627451,.29124439,0,0,0,
100500,.35490531,,.36189267,2,1,1,-10000
100501,.23122369,,.17214106,3,0,0,
100502,.35322705,.16983902,.17627457,0,0,1,
100503,.77221841,,,0,1,0,7722.1841
100504,.1160474,.30720857,.13733041,3,1,0,1160.474
100505,.45788702,.12683563,.23097666,0,0,0,
100506,.049939305,.062737852,.04390559,0,0,0,
100507,.42425805,,.32650217,0,0,0,
100508,,.4602564,.4280149,3,0,0,
100509,.23777546,.14381899,.20050462,0,0,0,
100510,,,,3,0,0,
100511,.097909488,,.13152513,0,1,1,-10000
100512,.24786262,,.25913501,3,0,0,
100513,.10763944,.085172914,.19348529,0,0,0,
100514,.20382357,.32972747,.26101267,0,1,1,-10000
100515,,.6330834,.2929455,0,0,1,
100516,.049939305,.16784118,1.3007617e-07,0,0,0,
100517,.13444214,.085808121,.047817662,0,0,0,
100518,.37221512,.33257261,,0,0,0,
100519,.40464985,.53704029,.26556727,0,0,0,
100520,.046492696,,.075400002,0,1,0,464.92697
100521,,,.25776109,0,0,0,
100522,.32917455,.25025523,,0,0,0,
100523,,.44422475,,0,0,0,
100524,.5204258,,,0,1,0,5204.2578
100525,.14867076,.18000001,.17262822,0,1,0,1486.7076
100526,,.22,.37691215,0,0,0,
100527,.13829623,.20534837,.21529999,0,1,0,1382.9623
100528,.15978156,,.12992921,0,0,0,
100529,.60238707,.1902028,.26059836,0,0,0,
100530,.65675169,.31407285,.54867393,0,0,0,
100531,.73637182,,.27888361,0,0,0,
100532,.056863055,.43210953,.044090595,0,0,0,
100533,.034784403,.02,.17132901,0,0,0,
100534,.35128614,,.20854494,0,0,0,
100535,.5513947,,,0,1,0,5513.9468
100536,.41126725,.36068901,,2,0,0,
100537,,,.1901,0,0,0,
100538,.049939305,.16835728,.081,0,1,0,499.39304
100539,.42935359,.71321851,.3461,1,0,0,
100540,,.20181069,.27799654,3,0,0,
100541,,.46315086,,2,0,1,
100542,.042932849,.054369289,.049743056,0,1,0,429.32849
100543,.706797,.4223077,.40033209,1,0,0,
100544,.22897452,.21879993,.22825105,0,0,0,
100545,.35440731,,.12800001,0,0,1,
100546,.6528492,.29025513,,0,0,0,
100547,.63999659,,.2534925,0,0,0,
100548,,.16416407,.45136669,0,0,0,
100549,.1405367,.1400477,.1018,0,0,0,
100550,.35839441,.54815215,.34502873,0,0,0,
100551,,,.36532426,0,0,0,
100552,,,,0,0,1,
100553,.525778,,.36426497,1,0,0,
100554,.098401666,.1260923,.093000002,0,0,0,
100555,.56607664,.26139036,.36317852,2,0,1,
100556,.42602423,.20999999,.3059752,0,0,0,
100557,.24040461,.089434922,.14394027,0,0,0,
100558,.30266452,.11,.24677524,0,0,0,
100559,.060189147,,.077408291,2,1,0,601.89148
100560,,,,1,0,0,
100561,.31907445,.19383326,.28462702,0,0,0,
100562,,.44422475,,2,0,1,
100563,,.074708603,.49151945,1,0,0,
100564,.025704397,.042434812,1.1297789e-07,0,0,0,
100565,.72773319,.097166605,.25650001,1,0,1,
100566,,.19920461,.31791216,0,0,0,
100567,.25596994,.26279858,,0,1,0,2559.6995
100568,.19181889,.1910124,,0,0,0,
100569,.62035072,.33448026,.4216592,1,0,1,
100570,.12051148,,.17251611,0,1,0,1205.1147
100571,,,,0,0,1,
100572,,.19267493,,2,0,0,
100573,.071288995,.095270127,.27044362,0,1,0,712.88995
100574,,.26865891,,3,0,0,
100575,,.18538295,.09977781,0,0,0,
100576,.28615433,,.26633388,0,0,1,
100577,,.44422475,.30226183,0,0,1,
100578,.24665819,.14381899,.15688781,0,0,0,
100579,,.50817496,.18098439,1,0,0,
100580,.14083685,.1171797,.1543,3,0,0,
100581,.46041429,.13,.43759465,3,0,0,
100582,.60782403,.20695785,,3,0,0,
100583,.2210938,.36942703,.13359086,0,0,0,
100584,.33513781,,.14673299,3,0,1,
100585,,,.2689451,0,0,1,
100586,.64898723,,.20704746,0,0,0,
100587,,.66854417,,2,0,0,
100588,.35064584,,.31094006,0,0,1,
100589,,,.2757054,2,0,1,
100590,.88597,,,0,1,0,8859.7002
100591,.75625515,.11,.16760001,0,0,0,
100592,.072852626,.060566477,.084765784,1,1,0,728.52625
100593,,,,3,0,1,
100594,.36409622,.23820285,.27993053,0,0,0,
100595,.61105239,.29025513,.54119754,0,0,0,
100596,.21900257,.19711639,.25491703,0,0,0,
100597,.90659028,.3791236,.2125279,3,0,0,
100598,.96193111,.50571895,.20110001,1,0,0,
100599,,.6330834,,0,0,0,
100600,,.41844529,,2,0,0,
100601,.096338384,.050202813,.061743375,0,0,0,
100602,,.24973156,,0,0,0,
100603,.62513363,.19986074,.52027011,0,0,1,
100604,,,,0,0,0,
100605,.93853778,.6330834,,2,0,0,
100606,,.37102926,.58931613,0,0,0,
100607,.29661253,,.23998752,0,0,0,
100608,.029704301,,.089000002,0,1,0,297.043
100609,.56260097,.32677487,.127,0,0,0,
100610,.63749945,.53327817,.41654825,0,0,0,
100611,,.40334284,.64172786,0,0,0,
100612,,.21354696,.123,3,0,1,
100613,.90287942,,.29899999,0,0,0,
100614,.27437988,.070179835,,0,0,0,
100615,,,.28189999,0,0,0,
100616,.14136693,.1910124,.35997903,0,1,0,1413.6693
100617,.052404735,.02,,0,0,0,
100618,,,,0,0,1,
100619,.29133424,.31031242,,0,1,0,2913.3425
100620,.62441146,.20593515,.32857066,0,0,0,
100621,.38314441,,.18179254,0,0,1,
100622,.051339492,,.015277259,0,0,0,
100623,,.39809328,.28613698,1,0,0,
