id,sex,employment,marital,income,social1
200205,0,employed,1,38857,.60742605
200206,1,employed,1,14656,.92628419
200207,1,student,0,4423,.95890737
200208,1,student,0,8772,0
200209,1,unemployed,1,0,0
200210,1,student,0,0,.008424351
200211,1,employed,1,19868,0
200212,1,student,0,0,.87137651
200213,1,employed,1,13482,.45688257
200214,1,employed,0,9992,.64093786
200215,1,employed,1,8626,.37271729
200216,0,unemployed,1,0,.76171893
200217,0,employed,0,25142,.38327947
200218,0,retired,1,3533,0
200219,0,unemployed,1,11966,0
200220,1,employed,1,5420,0
200221,1,employed,0,14650,.59118545
200222,1,unemployed,0,14807,.56466484
200223,0,employed,1,15215,.50923699
200224,1,employed,1,5700,0
200225,1,employed,1,20167,.79012197
200226,0,student,0,0,.19354549
200227,1,employed,1,17958,.35729134
200228,1,retired,0,3871,0
200229,1,employed,1,16014,.81538796
200230,1,employed,0,46762,.70798463
200231,1,employed,0,24677,.53841066
200232,0,retired,1,4009,.2034767
200233,1,employed,1,34064,.55342758
200234,1,employed,1,15479,0
200235,0,unemployed,1,13494,.20844936
200236,1,retired,0,14175,.22784898
200237,0,employed,1,31023,.816315
200238,1,employed,1,8637,.75116086
200239,1,student,0,4460,.97382647
200240,1,employed,1,12366,.62346977
200241,0,unemployed,1,10500,0
200242,0,employed,1,10946,.19081226
200243,0,student,0,0,.98670363
200244,1,employed,1,12875,.16706064
200245,1,unemployed,1,0,0
200246,1,employed,1,202797,.29065463
200247,1,employed,0,11725,0
200248,1,employed,1,9326,.96103847
200249,0,student,0,0,.84282917
200250,1,employed,1,7292,.44441468
200251,0,unemployed,1,0,0
200252,0,retired,0,3317,.16955678
200253,1,employed,1,9850,.74192792
200254,0,student,0,0,.9530403
200255,1,unemployed,1,0,0
200256,1,unemployed,1,0,0
200257,1,retired,1,6077,.36374682
200258,1,employed,0,1000000,.00064955559
200259,1,employed,0,10131,0
200260,1,employed,1,16349,0
200261,0,employed,1,29235,.37414435
200262,1,employed,1,21520,.68032593
200263,1,employed,0,62709,.011022052
200264,1,retired,1,2440,.20875582
200265,0,employed,1,7320,0
200266,1,employed,1,461710,0
200267,1,employed,0,13427,.50716156
200268,0,student,0,10234,0
200269,1,employed,1,9716,0
200270,0,student,0,0,.40550241
200271,1,unemployed,0,44072,0
200272,1,employed,1,14747,.17214283
200273,0,employed,1,6497,.56534332
200274,0,employed,1,10166,.37116173
200275,0,employed,1,9663,.75765216
200276,1,employed,1,24406,.78668952
200277,1,employed,1,7518,.5987832
200278,1,retired,1,4532,.069264576
200279,1,employed,0,21112,.1041141
200280,1,employed,1,9711,.6364013
200281,0,employed,1,6161,.50126767
200282,1,employed,1,12531,.59960723
200283,1,employed,1,10766,0
200284,1,employed,1,13488,.41261303
200285,1,student,0,12433,.96700025
200286,1,employed,1,19811,.34010804
200287,0,unemployed,1,0,0
200288,1,employed,1,6801,.79940003
200289,1,student,0,0,.90904814
200290,1,student,0,0,.85757089
200291,1,employed,1,7546,.028915927
200292,0,employed,1,6745,.60074097
200293,1,employed,1,123329,.20101222
200294,1,employed,1,28253,.79696304
200295,0,student,0,0,.77537304
200296,1,retired,1,5926,0
200297,0,unemployed,1,0,.28984344
200298,1,employed,1,13644,.23648247
200299,0,student,0,0,.77204657
200300,1,employed,1,6157,.38511732
200301,1,employed,1,34706,.40781164
200302,1,student,0,10534,.94876415
200303,1,employed,1,23225,0
200304,1,employed,0,38104,.55216002
200305,1,employed,0,26517,.34004688
200306,1,employed,1,7733,.1319575
200307,1,employed,1,8689,.61332881
200308,1,employed,1,5316,.5717538
200309,1,student,0,0,.82695198
200310,0,unemployed,0,0,.66418564
200311,0,retired,1,2429,0
200312,1,employed,1,15845,.77768642
200313,0,unemployed,0,0,.66060364
200314,1,unemployed,0,9541,.68461186
200315,1,unemployed,1,5407,.76335943
200316,1,employed,1,12138,.41259786
200317,1,unemployed,0,0,.55574757
200318,0,employed,1,11959,0
200319,0,employed,1,4202,.55740678
200320,1,employed,0,46866,.53475362
200321,1,student,0,0,.98292154
200322,1,employed,0,9485,.29322797
200323,0,unemployed,1,0,.08582706
200324,1,employed,1,107730,.67726064
200325,0,employed,1,49857,.57447124
200326,1,unemployed,1,0,.79443431
200327,1,retired,0,11743,0
200328,1,employed,1,6049,.81632161
200329,1,employed,0,16340,.97168106
200330,0,retired,1,9377,.057457078
200331,1,employed,1,12679,0
200332,1,employed,0,6785,.52357835
200333,0,employed,1,4563,0
200334,1,employed,1,10563,.80571347
200335,1,student,1,7545,.31115291
200336,1,unemployed,0,0,.76227695
200337,1,employed,0,172674,.2819536
200338,1,student,0,2665,.86410242
200339,1,employed,0,22721,.19794509
200340,0,employed,0,5484,0
200341,0,employed,1,209237,.52507436
200342,1,employed,1,10012,0
200343,1,employed,0,22672,.53652114
200344,1,student,0,6443,.73255175
200345,1,student,0,19762,.8833282
200346,1,student,0,0,.64074874
200347,0,student,0,0,.89361471
200348,1,student,0,0,.83515966
200349,0,retired,0,6093,.25726861
200350,1,employed,1,9441,.65765136
200351,1,employed,1,10118,.6999051
200352,1,employed,0,60286,.82848811
200353,1,employed,1,11874,.079206005
200354,1,unemployed,1,0,.13980812
200355,1,student,0,0,.91536325
200356,0,employed,0,67057,0
200357,0,student,0,9643,.84115332
200358,1,employed,1,11804,.7728852
200359,1,employed,1,15979,.5572142
200360,1,employed,1,7236,.63028228
200361,0,unemployed,0,0,0
200362,1,employed,1,17556,0
200363,1,employed,1,6163,.53653753
200364,0,employed,0,7147,.50668317
200365,1,retired,1,3671,.3217895
200366,0,employed,1,8069,0
200367,0,retired,1,2901,0
200368,1,student,0,0,.74570948
200369,1,employed,0,42719,0
200370,1,student,0,0,.83100641
200371,1,employed,1,12281,.7924037
200372,1,employed,1,12749,.53079379
200373,0,employed,1,4941,.64052171
200374,1,unemployed,1,15017,.89623129
200375,1,unemployed,1,5807,.65043253
200376,1,employed,1,8455,.10113749
200377,0,employed,1,7636,0
200378,1,employed,0,51423,.025560196
200379,1,employed,1,37357,.72139162
200380,1,employed,1,6733,.30965453
200381,0,unemployed,1,13124,.65478015
200382,1,employed,1,8084,0
200383,1,student,0,0,.90632772
200384,1,employed,1,8367,.856686
200385,1,retired,1,5308,.23838791
200386,1,employed,1,5903,.94871181
200387,1,employed,1,102287,0
200388,0,unemployed,1,0,.64571768
200389,1,retired,0,7844,.084617473
200390,1,unemployed,1,0,0
200391,1,unemployed,1,0,.98622757
200392,1,employed,1,11985,.4007802
200393,0,employed,1,11351,.82191497
200394,1,employed,0,159334,.19726671
200395,0,student,0,0,0
200396,1,employed,1,15428,.61376697
200397,0,retired,0,30862,0
200398,1,employed,0,20209,.87925434
200399,1,employed,1,166919,.62042713
200400,0,employed,1,13301,.85236049
200401,0,student,0,0,.78398854
200402,1,employed,1,36231,.50044692
200403,1,retired,1,3492,0
200404,1,unemployed,1,15385,.90981323
200405,1,employed,1,26490,.80443871
200406,1,employed,1,12099,.18453196
200407,1,student,0,11874,.98206103
200408,1,student,0,21780,.8676939
200409,1,employed,0,17076,0
200410,1,student,0,21520,.2129515
200411,1,employed,1,52645,.61695647
200412,1,employed,0,24803,0
200413,1,unemployed,1,0,0
200414,1,employed,0,6180,0
200415,1,employed,1,13458,.64685112
200416,0,student,0,0,.90915143
200417,0,employed,1,22053,.76148194
200418,0,employed,1,5969,.97507477
200419,1,unemployed,0,0,.65564376
200420,0,unemployed,1,0,.34126404
200421,0,employed,0,112596,0
200422,1,employed,1,10694,.0094759073
200423,0,employed,1,6894,0
200424,1,employed,1,6350,0
200425,0,unemployed,0,0,.38173729
200426,1,employed,0,10615,.12681521
200427,0,unemployed,1,26252,.37348315
200428,0,retired,1,10461,.27817932
200429,1,employed,1,64275,.028651934
200430,1,student,0,0,.53561437
200431,1,employed,1,5813,.47334391
200432,1,unemployed,0,0,.77343261
200433,1,employed,1,11168,.96888608
200434,1,employed,1,66744,.5658462
200435,0,unemployed,1,0,.61367971
200436,1,retired,1,18229,.058446366
200437,1,retired,1,9599,.25807336
200438,1,employed,1,62102,.10756589
200439,1,employed,1,11857,.046437819
200440,1,employed,1,27693,.57237327
200441,1,employed,1,6724,.58573359
200442,1,retired,1,10271,.21191111
200443,1,student,0,0,.98828125
200444,1,employed,0,10213,.59835988
200445,0,student,0,31764,.31802234
200446,1,employed,0,13026,.087167867
200447,1,employed,1,10859,.37220782
200448,1,employed,0,6494,0
200449,0,unemployed,1,0,0
200450,1,retired,1,5031,.20783255
200451,0,unemployed,1,0,0
200452,1,retired,0,5413,0
200453,0,employed,0,16432,.75798965
200454,1,employed,1,5238,.48424226
200455,0,retired,0,4908,0
200456,1,retired,1,7422,.22560033
200457,1,employed,1,128066,.60293198
200458,1,employed,1,21606,.54086214
200459,1,employed,1,8639,.59585571
200460,0,employed,0,14008,.46809682
200461,0,student,0,0,.88953388
200462,0,employed,0,9320,0
200463,0,retired,1,5440,.34039003
200464,1,unemployed,1,0,.84602278
200465,1,retired,1,62705,.23461053
200466,1,employed,1,11643,.54710895
200467,1,employed,0,12287,.85550112
200468,1,employed,1,10243,.55668056
200469,1,employed,1,13751,.97939605
200470,1,unemployed,1,0,.55411047
200471,0,employed,1,24091,0
200472,1,student,0,9670,.89396971
200473,1,retired,1,6938,0
200474,1,employed,1,27761,0
200475,1,employed,0,32940,.85591722
200476,1,employed,1,198631,0
200477,1,employed,1,11571,.59182382
200478,1,employed,0,10060,.13245358
200479,1,employed,1,27067,.55470616
200480,1,student,0,0,.84703052
200481,0,unemployed,1,7042,0
200482,1,employed,1,14494,.86956847
200483,1,student,0,0,.96648455
200484,1,employed,1,12454,.11306307
200485,1,employed,1,7554,.93527573
200486,1,employed,0,6998,.71401799
200487,1,employed,1,5782,0
200488,1,student,1,0,.86429632
200489,0,employed,1,5157,.38171542
200490,0,employed,1,6719,0
200491,0,employed,1,11656,0
200492,0,employed,1,7422,.80060995
200493,1,employed,1,13259,.56906736
200494,1,employed,0,20409,.90278137
200495,1,employed,1,10263,.51694643
200496,0,unemployed,1,0,.66437906
200497,0,employed,1,46757,.81068063
200498,1,employed,1,14098,0
200499,0,employed,1,8510,.88579595
200500,1,retired,1,5424,0
200501,1,student,0,8770,.84437162
200502,1,employed,1,8293,0
200503,1,employed,1,7075,.5541141
200504,1,unemployed,1,10393,.37571442
200505,1,employed,0,7449,.55096298
200506,1,student,0,0,0
200507,1,employed,0,13372,0
200508,1,employed,1,7049,.25575435
200509,1,employed,1,6960,.22949608
200510,1,employed,1,13647,.64172679
200511,1,unemployed,1,6566,.79326439
200512,1,employed,1,49096,.67967469
200513,1,employed,1,5026,.011537599
200514,1,unemployed,0,6850,.57425737
200515,1,employed,0,8417,0
200516,1,student,0,0,.97360259
200517,1,unemployed,1,29315,.72331774
200518,1,employed,1,49341,0
200519,1,employed,1,15556,.14211604
200520,1,employed,1,16974,.82543981
200521,0,unemployed,1,23986,.59145653
200522,1,employed,1,10611,.38667929
200523,1,student,1,0,.87294626
200524,1,employed,1,48174,.29154959
200525,1,employed,1,17259,.64707774
200526,1,employed,0,20867,.5538981
200527,0,student,0,0,.94932753
200528,0,employed,0,7214,.65844947
200529,1,retired,1,25661,.25830084
200530,1,employed,1,37346,.56608379
200531,0,student,1,30922,.93541318
200532,0,employed,1,4426,.31340012
200533,0,student,0,0,.069292247
200534,0,employed,0,6147,.95120758
200535,0,retired,1,5752,.1177519
200536,1,employed,1,7399,.084617279
200537,0,employed,1,17388,.56652945
200538,1,employed,1,36479,.38314435
200539,1,employed,0,7003,.12444247
200540,1,employed,1,19557,.74234641
200541,1,employed,1,24290,.5720374
200542,1,employed,1,25759,.15847638
200543,1,student,0,0,.92789435
200544,1,employed,1,13052,0
200545,1,employed,0,9467,.30805904
200546,1,retired,0,4006,0
200547,1,employed,1,8475,.53727758
200548,1,employed,0,18178,.82358813
200549,1,unemployed,1,5616,.25669593
200550,1,employed,0,9195,.33481312
200551,0,employed,1,11449,.60423541
200552,1,employed,1,199729,.87575006
200553,1,employed,0,39983,.075628579
200554,1,employed,0,13072,.52337325
200555,1,unemployed,1,0,.95933175
200556,0,employed,1,13463,.27532613
200557,0,unemployed,1,11208,.5389936
200558,1,employed,1,10425,.11044701
200559,1,employed,1,26025,0
200560,1,employed,1,5720,.24452603
200561,0,employed,1,7972,.57409006
200562,1,employed,0,6935,.61255324
200563,1,employed,1,16108,.74505633
200564,0,student,0,0,0
200565,1,employed,1,6745,.66073197
200566,1,student,0,0,.94294953
200567,0,employed,1,5719,.5775907
200568,1,employed,1,99635,0
200569,1,employed,1,63090,.69843441
200570,1,student,0,15655,.7693724
200571,0,employed,1,7297,.21421583
200572,1,retired,0,4194,0
200573,0,retired,0,15007,0
200574,1,unemployed,1,0,.61267781
200575,1,employed,0,20532,.57582313
200576,1,employed,1,9978,.770455
200577,1,student,0,0,.01558074
200578,1,employed,1,6168,.57296467
200579,1,student,0,7686,.91212177
200580,1,employed,1,31925,.73495734
200581,1,employed,1,7834,.82908618
200582,1,employed,1,6756,.87778205
200583,1,employed,1,15452,0
200584,1,retired,1,7244,.23396888
200585,0,employed,1,21279,.042193078
200586,0,employed,1,13293,0
200587,0,employed,1,5609,0
200588,1,unemployed,1,0,.7383278
200589,1,employed,0,10276,.30666023
200590,1,student,0,0,.84022528
200591,1,unemployed,1,8263,.69147456
200592,0,student,0,0,.85941869
200593,1,employed,1,17220,.25555658
200594,1,employed,1,53823,0
200595,1,retired,1,8906,0
200596,1,employed,0,6397,.95734209
200597,1,unemployed,1,0,.16672364
200598,0,unemployed,0,0,0
200599,1,employed,0,9663,.10684387
200600,1,retired,1,6249,.37981361
200601,1,employed,1,7330,.35511598
200602,1,employed,1,13750,.34798494
200603,1,employed,1,348678,.25775862
200604,1,employed,1,32989,.20919257
200605,1,employed,1,17588,.15201868
200606,0,student,0,0,.23751399
200607,1,employed,1,33304,.49822646
200608,1,employed,1,9314,.7891891
200609,1,employed,1,15234,.063925289
200610,1,student,0,3713,.36023608
200611,1,retired,0,7180,.29363626
200612,1,student,1,25574,0
200613,1,employed,1,9575,0
200614,1,employed,1,8437,.65240538
200615,1,employed,1,10016,.41007203
200616,0,employed,1,11150,0
200617,0,student,0,23431,.85340154
200618,1,unemployed,0,50807,.052824993
200619,0,unemployed,1,17279,.38886037
200620,1,employed,1,118065,0
200621,0,retired,0,6462,.27083713
200622,1,employed,1,31583,0
200623,1,unemployed,1,10097,0
200624,1,employed,1,8655,0
200625,1,retired,0,12027,.18394037
200626,1,student,0,5275,0
200627,1,employed,1,7874,.75539392
200628,1,employed,1,76185,0
200629,1,employed,1,13709,.32282522
200630,1,employed,0,18323,.73400521
200631,1,employed,0,16623,0
200632,1,employed,0,10032,.71281052
200633,1,employed,0,13309,.52019215
200634,1,employed,1,19716,0
200635,1,employed,1,6137,0
200636,0,unemployed,1,120434,.70645124
200637,0,retired,0,3149,.11221607
200638,0,employed,1,5515,.52708232
200639,1,employed,1,10406,0
200640,1,unemployed,1,15523,.57289356
200641,0,unemployed,1,10615,.59695905
200642,0,employed,1,12409,.51702416
200643,1,employed,1,20223,.12470816
200644,1,employed,1,5239,.011811433
200645,1,employed,0,32242,.62878376
200646,0,employed,1,6191,.53367478
200647,0,unemployed,1,0,0
200648,1,unemployed,0,10723,.71704179
200649,1,student,0,0,0
200650,1,employed,1,155770,.73494416
200651,1,student,0,0,.063978955
200652,1,retired,0,4802,.26266441
200653,1,unemployed,1,0,.082577445
200654,0,employed,1,4470,.3575488
200655,1,employed,1,45984,.81613588
200656,1,employed,1,10462,.28482947
200657,0,unemployed,0,59037,0
200658,1,unemployed,1,0,.55542028
200659,0,retired,0,5759,.088816434
200660,1,employed,0,8941,.30776551
200661,1,employed,1,6364,.2204636
200662,1,student,0,0,.012576415
200663,1,employed,1,27079,0
200664,1,employed,0,18431,.63148522
200665,1,employed,1,6016,.65979934
200666,1,employed,0,30710,0
200667,1,employed,1,37488,0
200668,1,employed,0,28862,.50219697
200669,1,employed,0,6900,.10405638
200670,1,employed,1,9976,.53479505
200671,1,unemployed,1,0,.68957412
200672,1,employed,1,736995,.50761151
200673,1,employed,1,7755,.045991898
200674,1,employed,0,10961,.14507136
200675,1,retired,1,71661,.018917978
200676,1,employed,0,227224,0
200677,0,employed,1,53637,.4827123
200678,1,employed,0,47188,.094165556
200679,1,employed,1,17688,0
200680,1,unemployed,1,0,.66159403
200681,0,retired,0,6935,.094077811
200682,1,employed,1,18629,.47288194
200683,1,employed,1,183210,.69946861
200684,0,employed,1,4677,.51696867
200685,1,employed,1,8380,0
200686,0,student,0,0,.61004579
200687,1,student,1,4343,.75576061
200688,1,student,0,0,.84700572
200689,1,retired,1,5434,.23673289
200690,0,unemployed,1,64694,.57470095
200691,0,retired,0,6712,.23392777
200692,1,employed,1,17734,.66087669
200693,1,unemployed,1,10536,.53070742
200694,1,employed,1,10639,.85224527
200695,1,retired,0,19283,0
200696,1,retired,0,4981,0
200697,1,employed,1,20117,.38612086
200698,1,employed,0,16866,.10082498
200699,1,unemployed,1,14732,.53932011
200700,1,employed,1,10940,.88139284
200701,1,employed,1,6513,.50374645
200702,1,employed,0,11122,.73372191
200703,0,student,1,0,.85224187
200704,1,employed,1,27255,.8787213
200705,1,student,0,0,0
200706,1,employed,1,5092,0
200707,1,employed,1,21934,.17693689
200708,0,student,0,5937,.8773818
200709,1,employed,0,121667,0
200710,1,employed,1,9876,0
200711,1,employed,1,35645,.029911118
200712,0,unemployed,1,0,.11725388
200713,1,employed,1,6891,.55613726
200714,0,unemployed,1,6403,.69845855
200715,1,retired,1,4645,.12032279
200716,1,retired,1,13897,0
200717,1,employed,1,13674,.78387028
200718,0,employed,1,26081,.84936714
200719,1,employed,0,6513,.028728051
200720,1,retired,1,5520,.34681705
200721,0,student,0,0,.75628412
200722,1,unemployed,1,0,.043677863
200723,1,employed,1,106214,.52399963
200724,1,retired,0,11421,.25256199
200725,1,student,0,30558,.12293524
200726,1,student,0,0,0
200727,1,employed,1,33703,.72794938
200728,1,employed,1,10354,.23868988
200729,1,employed,0,8669,0
200730,1,employed,1,10558,.15684356
200731,1,student,0,0,.5773105
200732,0,student,0,16853,.95277697
200733,0,employed,1,12138,0
200734,1,employed,1,27654,0
200735,0,employed,0,9769,.9018122
200736,1,student,0,9940,.20705839
200737,1,employed,1,6260,.61873341
200738,0,employed,1,5276,0
200739,1,employed,1,17309,.024807801
200740,1,employed,1,7045,.55048645
200741,0,employed,1,11649,0
200742,0,unemployed,0,10285,0
200743,1,student,1,8483,.45186633
200744,1,employed,1,9209,.2283905
200745,0,employed,1,8075,.9429034
200746,1,employed,1,9320,0
200747,1,retired,0,3510,.39282414
200748,0,employed,1,45133,.68344265
200749,1,retired,0,3200,.31574255
200750,1,employed,1,31286,.71518636
200751,1,employed,1,11363,.44366276
200752,1,unemployed,1,0,0
200753,1,retired,1,7991,.061064668
200754,1,employed,1,72193,.64299572
200755,0,unemployed,1,0,.37883869
200756,1,employed,1,20308,.53418314
200757,0,employed,1,24429,.8263725
200758,1,employed,1,29686,0
200759,1,employed,0,7349,.089291058
200760,1,student,0,0,.9469195
200761,1,retired,0,33637,.066954039
200762,1,unemployed,0,0,0
200763,0,student,0,7213,.76131433
200764,1,retired,1,6555,.24042931
200765,1,employed,1,5584,0
200766,1,employed,1,24224,.56148696
200767,0,retired,0,3511,.26991123
200768,1,employed,0,6543,.69671196
200769,1,employed,1,15517,0
200770,1,employed,0,8735,.64002794
200771,1,retired,1,25277,.16998801
200772,0,employed,1,6646,.44799355
200773,1,employed,0,33423,.4030976
200774,1,retired,0,26382,0
200775,1,employed,1,11160,.82180154
200776,1,employed,1,13256,.63465512
200777,1,student,0,0,.89093775
200778,1,student,0,0,.84572744
200779,0,employed,1,314008,.54500932
200780,0,employed,0,38774,0
200781,1,employed,1,8966,.76448941
200782,1,employed,0,23246,.68837303
200783,1,employed,1,31996,.10040978
200784,0,student,0,4748,0
200785,1,student,0,3345,.14862902
200786,1,employed,1,15485,0
200787,1,employed,1,12917,0
200788,0,employed,1,11105,.2344901
200789,1,employed,0,10981,.51397097
200790,1,student,0,0,.79697526
200791,0,employed,0,6197,.53337145
200792,0,unemployed,1,7655,0
200793,1,retired,0,3781,0
200794,1,employed,1,27641,.26971129
200795,1,employed,1,6840,.50962669
200796,1,employed,1,19347,.84780556
200797,1,retired,0,4715,.089395583
200798,1,employed,1,22032,.67241317
200799,1,unemployed,1,0,0
200800,1,retired,1,4004,.13168621
200801,0,employed,1,7427,0
200802,1,employed,0,21585,.26155004
200803,0,student,1,7695,.95896012
200804,1,employed,1,11889,0
200805,0,unemployed,1,22466,.44829068
200806,1,unemployed,1,10769,0
200807,1,retired,1,23438,0
200808,1,employed,1,254948,.65715963
